Date,BLK,AXP,JPM,GS,SCHW,WFC,COF,C,MS,BAC
2022-08-12,681.782958984375,158.30740356445312,111.34729766845703,320.45562744140625,71.10192108154297,41.758792877197266,108.35012817382812,47.72711944580078,81.13980865478516,32.78315353393555
2022-08-15,685.4011840820312,157.88742065429688,111.64816284179688,322.29412841796875,71.91722106933594,41.58610534667969,106.4029312133789,47.455047607421875,81.45848846435547,32.73800277709961
2022-08-16,686.53466796875,157.83970642089844,112.71485137939453,321.4971618652344,73.16860961914062,41.867889404296875,108.0880126953125,47.55158996582031,81.28144073486328,33.0902099609375
2022-08-17,673.9750366210938,156.45553588867188,111.76668548583984,320.38311767578125,71.53802490234375,41.94060134887695,106.35611724853516,47.18296813964844,80.86539459228516,32.882484436035156
2022-08-18,675.7886962890625,157.17147827148438,110.90057373046875,321.0895080566406,71.81292724609375,41.94060134887695,106.58079528808594,46.9986572265625,81.2017822265625,32.765079498291016
2022-08-19,647.3413696289062,154.87095642089844,108.15628051757812,316.33465576171875,70.02116394042969,41.222511291503906,105.0455093383789,46.17366027832031,79.67919158935547,32.04258728027344
2022-08-22,630.29296875,150.53717041015625,106.36934661865234,310.130615234375,68.77925872802734,40.3680534362793,102.04047393798828,44.980045318603516,78.30707550048828,31.35622787475586
2022-08-23,632.0340576171875,150.18397521972656,105.32088470458984,308.1018981933594,69.00678253173828,40.331695556640625,102.79875946044922,44.71674346923828,78.16544342041016,31.076263427734375
2022-08-24,635.1625366210938,151.90220642089844,105.576171875,309.6958923339844,69.50923156738281,40.57712173461914,103.31363677978516,44.7693977355957,78.43102264404297,31.175601959228516
2022-08-25,644.3941040039062,154.8614044189453,108.0833740234375,313.8167724609375,70.15389251708984,41.25886535644531,106.4029312133789,45.69094467163086,79.59066772460938,31.735532760620117
2022-08-26,613.4168090820312,150.1648712158203,104.54592895507812,304.6782531738281,68.153564453125,39.968109130859375,102.80812072753906,43.689884185791016,76.84648132324219,30.733074188232422
2022-08-29,612.9180908203125,147.52069091796875,104.29065704345703,302.4321594238281,68.20095825195312,39.92264938354492,100.35540771484375,43.330039978027344,75.55403900146484,30.61567497253418
2022-08-30,610.0433959960938,147.63523864746094,104.30887603759766,302.16949462890625,68.73186492919922,40.12263488769531,100.00902557373047,43.07551956176758,74.73963165283203,30.787261962890625
2022-08-31,604.30322265625,145.09603881835938,103.68892669677734,303.5748291015625,67.2624282836914,39.73176956176758,99.06351470947266,42.83854675292969,75.43895721435547,30.353763580322266
2022-09-01,602.9066162109375,144.24647521972656,104.40007019042969,304.3321838378906,67.99239349365234,39.722686767578125,98.11798858642578,42.785892486572266,76.27992248535156,30.42648696899414
2022-09-02,596.7492065429688,142.98641967773438,103.6706771850586,302.4888916015625,66.68412780761719,39.43180847167969,97.56566619873047,42.86488342285156,76.4835205078125,30.39012336730957
2022-09-06,604.4692993164062,141.85047912597656,103.69803619384766,297.9352722167969,66.807373046875,38.9773063659668,95.64656066894531,42.32073211669922,75.35929107666016,30.05377197265625
2022-09-07,615.9715576171875,145.33470153808594,105.66732025146484,301.64923095703125,68.05876159667969,39.849937438964844,98.19290924072266,42.68057632446289,76.8907241821289,30.51739501953125
